Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
AKR,Real Estate,BUY_PULLBACK,BUY_PULLBACK,20.56,4.3,1.29,0.72,2.2,20,0.91,57.9,2.73,29.9,종목 2.9% vs SPY -1.0%,13.0,SMA20(20.34) 눌림 후 반등(필터 통과),20.56 부근 분할 또는 직전 고가 상향 시,SMA20(20.34) 이탈 또는 Stop 19.44,RSI 58,,RSI 57.9,20.56,19.44,23.03,369.0,7587.0,23855387,1,False
RDN,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,34.27,6.5,-0.15,0.85,,51,1.28,58.7,3.13,11.2,,11.8,트리거: 34.43 상향 돌파(20D High),34.43 돌파+거래량 동반 시,SMA50(34.44) 이탈 또는 Stop 32.13,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 59",,현재 Vol 1.28x,,,,,,43146346,3,False
PG,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,165.17,544.5,-0.2,0.8,,50,1.25,74.6,2.03,54.4,,8.2,트리거: 163.14 상향 돌파(20D High),163.14 돌파+거래량 동반 시,SMA50(148.94) 이탈 또는 Stop 158.45,"20D high 근접, Vol 1.3x (약), MACD 상향크로스",CROSS_UP,현재 Vol 1.25x,,,,,,1849290350,3,False
ASML,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,1485.99,799.3,-0.21,0.79,,43,0.67,56.2,3.24,17.1,,0.5,트리거: 1493.48 상향 돌파(20D High),1493.48 돌파+거래량 동반 시,SMA50(1277.40) 이탈 또는 Stop 1389.59,"20D high 근접, MACD 완만개선, RSI 56",,현재 Vol 0.67x,,,,,,2709424993,3,False
LIN,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,498.19,316.1,-0.24,0.76,,43,0.76,71.6,2.18,39.3,,0.5,트리거: 498.35 상향 돌파(20D High),498.35 돌파+거래량 동반 시,SMA50(445.09) 이탈 또는 Stop 476.48,"20D high 근접, MACD 완만개선, RSI 72",,현재 Vol 0.76x,,,,,,1328787515,3,False
ABT,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,115.29,287.1,-0.24,0.76,,43,0.78,68.9,1.8,42.4,,18.4,트리거: 113.76 상향 돌파(20D High),113.76 돌파+거래량 동반 시,SMA50(118.50) 이탈 또는 Stop 111.14,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.78x,,,,,,1293033717,3,False
SYK,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,384.73,200.6,-0.24,0.76,,43,0.79,65.5,2.65,20.9,,5.0,트리거: 381.39 상향 돌파(20D High),381.39 돌파+거래량 동반 시,SMA50(360.25) 이탈 또는 Stop 364.30,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.79x,,,,,,816281348,3,False
WBD,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,28.92,99.3,-0.24,0.76,,43,0.56,67.6,1.8,44.3,,3.6,트리거: 29.19 상향 돌파(20D High),29.19 돌파+거래량 동반 시,SMA50(28.40) 이탈 또는 Stop 27.88,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 0.56x,,,,,,641332569,3,False
CFLT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,30.69,15.9,-0.23,0.77,,43,0.52,58.6,0.46,23.1,,7.0,트리거: 30.76 상향 돌파(20D High),30.76 돌파+거래량 동반 시,SMA50(30.36) 이탈 또는 Stop 30.41,"20D high 근접, MACD 완만개선, RSI 59",,현재 Vol 0.52x,,,,,,587124984,3,False
YUM,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,166.45,64.6,-0.22,0.78,,43,1.17,71.3,2.11,45.3,,0.3,트리거: 165.32 상향 돌파(20D High),165.32 돌파+거래량 동반 시,SMA50(155.77) 이탈 또는 Stop 159.43,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 1.17x,,,,,,347468393,3,False
FNV,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,270.88,71.5,-0.24,0.76,,43,0.76,67.6,4.08,18.0,,1.0,트리거: 273.56 상향 돌파(20D High),273.56 돌파+거래량 동반 시,SMA50(233.82) 이탈 또는 Stop 248.76,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 0.76x,,,,,,235240349,3,False
AGI,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,49.7,27.8,-0.27,0.73,,43,0.78,71.1,5.62,14.9,,0.3,트리거: 48.07 상향 돌파(20D High),48.07 돌파+거래량 동반 시,SMA50(41.10) 이탈 또는 Stop 44.12,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.78x,,,,,,221426001,3,False
HOLX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,75.44,24.5,-0.26,0.74,,43,0.62,71.9,0.35,23.1,,0.0,트리거: 75.47 상향 돌파(20D High),75.47 돌파+거래량 동반 시,SMA50(74.93) 이탈 또는 Stop 74.91,"20D high 근접, MACD 완만개선, RSI 72",,현재 Vol 0.62x,,,,,,207756413,3,False
MPLX,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,58.8,83.4,-0.24,0.76,,43,0.9,69.8,2.17,20.2,,0.8,트리거: 58.56 상향 돌파(20D High),58.56 돌파+거래량 동반 시,SMA50(55.01) 이탈 또는 Stop 56.25,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.90x,,,,,,121226705,3,False
LNT,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,71.91,26.8,-0.26,0.74,,41,1.3,82.7,1.86,30.8,,0.5,트리거: 72.26 상향 돌파(20D High),72.26 돌파+거래량 동반 시,SMA50(66.66) 이탈 또는 Stop 69.23,"20D high 근접, Vol 1.3x (약), MACD 완만개선",,현재 Vol 1.30x,,,,,,206241453,3,False
UCTT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,61.41,3.6,-0.27,0.73,,41,1.4,75.7,6.59,39.2,,0.4,트리거: 60.85 상향 돌파(20D High),60.85 돌파+거래량 동반 시,SMA50(39.37) 이탈 또는 Stop 53.32,"20D high 근접, Vol 1.4x (약), MACD 완만개선",,현재 Vol 1.40x,,,,,,59643468,3,False
CB,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,333.39,188.0,-0.24,0.76,,40,1.05,70.9,2.43,57.3,,0.7,트리거: 335.60 상향 돌파(20D High),335.60 돌파+거래량 동반 시,SMA50(313.40) 이탈 또는 Stop 317.19,"20D high 근접, RSI 71",,현재 Vol 1.05x,,,,,,572856866,3,False
AVY,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,196.62,21.6,-0.25,0.75,,40,0.92,69.5,2.22,35.0,,0.5,트리거: 197.54 상향 돌파(20D High),197.54 돌파+거래량 동반 시,SMA50(186.75) 이탈 또는 Stop 187.89,"20D high 근접, RSI 69",,현재 Vol 0.92x,,,,,,126862166,3,False
MKTX,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,181.65,9.8,-0.25,0.75,,40,0.6,70.4,3.25,32.9,,22.0,트리거: 182.45 상향 돌파(20D High),182.45 돌파+거래량 동반 시,SMA50(175.16) 이탈 또는 Stop 169.83,"20D high 근접, RSI 70",,현재 Vol 0.60x,,,,,,104564985,3,False
CNP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,42.89,40.6,-0.25,0.75,,38,1.39,80.4,1.82,36.7,,0.7,트리거: 43.20 상향 돌파(20D High),43.20 돌파+거래량 동반 시,SMA50(39.37) 이탈 또는 Stop 41.33,"20D high 근접, Vol 1.4x (약)",,현재 Vol 1.39x,,,,,,266664417,3,False
KIM,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,23.41,22.5,-0.24,0.76,,38,1.46,80.1,2.04,60.3,,0.7,트리거: 23.22 상향 돌파(20D High),23.22 돌파+거래량 동반 시,SMA50(20.99) 이탈 또는 Stop 22.46,"20D high 근접, Vol 1.5x (약)",,현재 Vol 1.46x,,,,,,141051737,3,False
BRX,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,29.79,13.1,-0.26,0.74,,38,1.35,83.1,1.82,63.6,,0.6,트리거: 29.71 상향 돌파(20D High),29.71 돌파+거래량 동반 시,SMA50(26.83) 이탈 또는 Stop 28.71,"20D high 근접, Vol 1.3x (약)",,현재 Vol 1.35x,,,,,,91250320,3,False
ROST,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,201.89,90.8,-0.35,0.65,,33,0.76,79.6,1.89,45.5,,0.7,트리거: 203.31 상향 돌파(20D High),203.31 돌파+거래량 동반 시,SMA50(188.64) 이탈 또는 Stop 194.27,"20D high 근접, MACD 완만개선",,현재 Vol 0.76x,,,,,,452561871,3,False
AEP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,132.03,94.7,-0.35,0.65,,33,1.0,82.6,2.15,60.6,,0.6,트리거: 132.78 상향 돌파(20D High),132.78 돌파+거래량 동반 시,SMA50(118.88) 이탈 또는 Stop 126.35,"20D high 근접, MACD 완만개선",,현재 Vol 1.00x,,,,,,442716477,3,False
ATI,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,159.27,29.0,-0.32,0.68,,33,1.08,97.9,3.65,64.5,,0.4,트리거: 158.99 상향 돌파(20D High),158.99 돌파+거래량 동반 시,SMA50(124.71) 이탈 또는 Stop 147.64,"20D high 근접, MACD 완만개선",,현재 Vol 1.08x,,,,,,330670091,3,False
CHD,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,105.26,35.3,-0.33,0.67,,33,0.66,73.8,2.3,66.7,,9.6,트리거: 103.55 상향 돌파(20D High),103.55 돌파+거래량 동반 시,SMA50(91.40) 이탈 또는 Stop 100.42,"20D high 근접, MACD 완만개선",,현재 Vol 0.66x,,,,,,247399764,3,False
FLTW,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,70.86,,-0.14,0.86,,33,5.08,70.0,1.99,24.5,,1.4,트리거: 71.84 상향 돌파(20D High),71.84 돌파+거래량 동반 시,SMA50(64.82) 이탈 또는 Stop 68.05,"Vol 5.1x (강함), RSI 70",,현재 Vol 5.08x,,,,,,31609802,3,False
KO,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,80.56,497.9,-0.34,0.66,,30,0.85,72.5,1.81,59.8,,0.4,트리거: 80.41 상향 돌파(20D High),80.41 돌파+거래량 동반 시,SMA50(73.03) 이탈 또는 Stop 77.65,20D high 근접,,현재 Vol 0.85x,,,,,,1559403571,3,False
BKR,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,63.67,85.2,-0.33,0.67,,30,0.81,73.4,2.78,49.1,,0.9,트리거: 62.75 상향 돌파(20D High),62.75 돌파+거래량 동반 시,SMA50(52.60) 이탈 또는 Stop 60.13,20D high 근접,,현재 Vol 0.81x,,,,,,580859344,3,False
LMT,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,660.62,221.1,-0.28,0.72,,18,0.71,59.3,2.69,44.3,,1.4,트리거: 669.75 상향 돌파(20D High),669.75 돌파+거래량 동반 시,SMA50(561.59) 이탈 또는 Stop 625.14,"MACD 완만개선, RSI 59",,현재 Vol 0.71x,,,,,,1062240939,3,False
